2015-08-10 10:44:51 DEBUG logging:55 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2015-08-10 10:44:51 INFO  LogHelper:46 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration float -> org.hibernate.type.FloatType@46a6dfd4
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@46a6dfd4
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration double -> org.hibernate.type.DoubleType@124b0265
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration double -> org.hibernate.type.DoubleType@124b0265
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@124b0265
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@53c4b0a9
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@53c4b0a9
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@2bd2edaf
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@2bd2edaf
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration string -> org.hibernate.type.StringType@c2efa73
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.String -> org.hibernate.type.StringType@c2efa73
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@542861e1
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@64aa16f4
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration url -> org.hibernate.type.UrlType@18c8cb7d
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@18c8cb7d
